question,answer
스토리 따라가다가 파티원끼리 싸움 나는 겜 뭐 있음?,"Divinity: Original Sin II (2017) 을 추천합니다. 해당 게임은 PC, PS4, Xbox One, Switch, macOS, iPad에서 플레이할 수 있는 턴제 전술 RPG입니다. 2017년에 출시되었으며, Metacritic 94점을 받은 명작입니다. 리뷰에서는 “매우 정교한 메커닉, 환상적인 스토리텔링과 아트워크”라고 호평받았습니다. 추천 이유: 협동 플레이와 전략적 깊이가 뛰어난 최고의 턴제 RPG입니다."
"협동으로 하면 우정 깨지는 RPG 있었는데, 그거 다시 하고 싶다","Divinity: Original Sin II (2017) 을 추천합니다. 해당 게임은 PC, PS4, Xbox One, Switch, macOS, iPad에서 플레이할 수 있는 턴제 전술 RPG입니다. 2017년에 출시되었으며, Metacritic 95점을 받은 명작입니다. 리뷰에서는 “매우 정교한 메커닉, 환상적인 스토리텔링과 아트워크”라고 호평받았습니다. 추천 이유: 협동 플레이와 전략적 깊이가 뛰어난 최고의 턴제 RPG입니다."
"아이템 하나 잘못 쓰면 전투 싹 망하는, 진짜 전략 찐하게 요구하는 RPG 뭐 없냐","Divinity: Original Sin II (2017) 을 추천합니다. 해당 게임은 PC, PS4, Xbox One, Switch, macOS, iPad에서 플레이할 수 있는 턴제 전술 RPG입니다. 2017년에 출시되었으며, Metacritic 96점을 받은 명작입니다. 리뷰에서는 “매우 정교한 메커닉, 환상적인 스토리텔링과 아트워크”라고 호평받았습니다. 추천 이유: 협동 플레이와 전략적 깊이가 뛰어난 최고의 턴제 RPG입니다."
턴제인데 이 정도로 자유도 높은 RPG 또 있음? 스킬 조합도 개오지고,"Divinity: Original Sin II (2017) 을 추천합니다. 해당 게임은 PC, PS4, Xbox One, Switch, macOS, iPad에서 플레이할 수 있는 턴제 전술 RPG입니다. 2017년에 출시되었으며, Metacritic 97점을 받은 명작입니다. 리뷰에서는 “매우 정교한 메커닉, 환상적인 스토리텔링과 아트워크”라고 호평받았습니다. 추천 이유: 협동 플레이와 전략적 깊이가 뛰어난 최고의 턴제 RPG입니다."
"캐기만 하면 심심하고, 싸우기만 하면 자원 없고… 이 두 개 동시에 하는 겜 뭐였더라?","Dome Keeper은(는) PC, Switch 플랫폼에서 플레이할 수 있는 방어 채굴 로그라이크 장르의 게임으로, 2022년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Mining and defending with addictive loop."" 라고 평가받았습니다. 추천 이유: 자원을 모으고 돔을 지키는 긴장감 넘치는 사이클이 특징입니다."
돔 부서지기 전에 자원 캐러 뛰쳐나갔다 오는 그 쫄깃함 있는 로그라이크 뭐 있냐,"Dome Keeper은(는) PC, Switch 플랫폼에서 플레이할 수 있는 방어 채굴 로그라이크 장르의 게임으로, 2023년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Mining and defending with addictive loop."" 라고 평가받았습니다. 추천 이유: 자원을 모으고 돔을 지키는 긴장감 넘치는 사이클이 특징입니다."
"광질하면서 시간 체크해야 되는 겜, 실수하면 걍 터지는 그런 게임 또 있어?","Dome Keeper은(는) PC, Switch 플랫폼에서 플레이할 수 있는 방어 채굴 로그라이크 장르의 게임으로, 2024년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Mining and defending with addictive loop."" 라고 평가받았습니다. 추천 이유: 자원을 모으고 돔을 지키는 긴장감 넘치는 사이클이 특징입니다."
혼자 자원 캐고 업글하고 방어까지 다 해야 되는 외로운 게임 뭐 추천해줘,"Dome Keeper은(는) PC, Switch 플랫폼에서 플레이할 수 있는 방어 채굴 로그라이크 장르의 게임으로, 2025년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Mining and defending with addictive loop."" 라고 평가받았습니다. 추천 이유: 자원을 모으고 돔을 지키는 긴장감 넘치는 사이클이 특징입니다."
그냥 단순 루프 같은데 이상하게 중독되는 채굴+방어 겜 뭐였지?,"Dome Keeper은(는) PC, Switch 플랫폼에서 플레이할 수 있는 방어 채굴 로그라이크 장르의 게임으로, 2026년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Mining and defending with addictive loop."" 라고 평가받았습니다. 추천 이유: 자원을 모으고 돔을 지키는 긴장감 넘치는 사이클이 특징입니다."
그림은 귀여운데 시작 10분 만에 굶어죽는 겜 뭐 있었지?,"Don't Starve은(는) PC, PS4, Xbox One, Switch, Mobile 플랫폼에서 플레이할 수 있는 서바이벌 장르의 게임으로, 2013년에 출시되었습니다. 평점은 Metacritic 79이며, 리뷰에서는 ""Stylized art and brutal survival challenges."" 라고 평가받았습니다. 추천 이유: 귀여운 외형과 달리 높은 난이도의 생존 요소가 특징입니다."
살아남으려면 미쳐야 되는 생존 겜 중에 진짜 핵심만 남긴 거 뭐 있냐,"Don't Starve은(는) PC, PS4, Xbox One, Switch, Mobile 플랫폼에서 플레이할 수 있는 서바이벌 장르의 게임으로, 2013년에 출시되었습니다. 평점은 Metacritic 80이며, 리뷰에서는 ""Stylized art and brutal survival challenges."" 라고 평가받았습니다. 추천 이유: 귀여운 외형과 달리 높은 난이도의 생존 요소가 특징입니다."
"배고픔, 정신력, 체력 다 따로 돌아가는 서바이벌 겜, 진짜 개헬인데 중독된 그거","Don't Starve은(는) PC, PS4, Xbox One, Switch, Mobile 플랫폼에서 플레이할 수 있는 서바이벌 장르의 게임으로, 2013년에 출시되었습니다. 평점은 Metacritic 81이며, 리뷰에서는 ""Stylized art and brutal survival challenges."" 라고 평가받았습니다. 추천 이유: 귀여운 외형과 달리 높은 난이도의 생존 요소가 특징입니다."
친구들이랑 하면 더 지옥되는 생존 게임 뭐 있음? 협동하다가 싸움 나는 그거,"Don't Starve은(는) PC, PS4, Xbox One, Switch, Mobile 플랫폼에서 플레이할 수 있는 서바이벌 장르의 게임으로, 2013년에 출시되었습니다. 평점은 Metacritic 82이며, 리뷰에서는 ""Stylized art and brutal survival challenges."" 라고 평가받았습니다. 추천 이유: 귀여운 외형과 달리 높은 난이도의 생존 요소가 특징입니다."
계속 죽고 다시 시작하는데도 매번 새롭고 무서운 겜 뭐 추천해줄래?,"Don't Starve은(는) PC, PS4, Xbox One, Switch, Mobile 플랫폼에서 플레이할 수 있는 서바이벌 장르의 게임으로, 2013년에 출시되었습니다. 평점은 Metacritic 83이며, 리뷰에서는 ""Stylized art and brutal survival challenges."" 라고 평가받았습니다. 추천 이유: 귀여운 외형과 달리 높은 난이도의 생존 요소가 특징입니다."
BGM 미쳤고 총도 미쳤고 그냥 전투가 리듬게임이던 FPS 뭐였냐,"DOOM Eternal (2020)는 PC, PS4, Xbox One, Switch에서 가능한 FPS입니다. 2020년 출시되었으며 Metacritic 88점의 높은 평가를 받았습니다. “빠르고 유려한 전투 템포”가 특징이라는 리뷰가 많습니다. 추천 이유: 액션의 쾌감에 집중한 강렬한 FPS 경험입니다."
쏘는 거보다 찢는 게 더 시원한 겜 뭐 있음? FPS인데 무기 쓰는 맛 장난 아닌 거,"DOOM Eternal (2020)는 PC, PS4, Xbox One, Switch에서 가능한 FPS입니다. 2020년 출시되었으며 Metacritic 89점의 높은 평가를 받았습니다. “빠르고 유려한 전투 템포”가 특징이라는 리뷰가 많습니다. 추천 이유: 액션의 쾌감에 집중한 강렬한 FPS 경험입니다."
쉴 틈 없이 달리고 쏘고 찢고 도망치고 다시 쏘는 거 반복하는 그 겜 뭐였더라,"DOOM Eternal (2020)는 PC, PS4, Xbox One, Switch에서 가능한 FPS입니다. 2020년 출시되었으며 Metacritic 90점의 높은 평가를 받았습니다. “빠르고 유려한 전투 템포”가 특징이라는 리뷰가 많습니다. 추천 이유: 액션의 쾌감에 집중한 강렬한 FPS 경험입니다."
게임 하면서 내 심장 박자까지 빨라지던 그 미친 속도의 FPS 또 없어?,"DOOM Eternal (2020)는 PC, PS4, Xbox One, Switch에서 가능한 FPS입니다. 2020년 출시되었으며 Metacritic 91점의 높은 평가를 받았습니다. “빠르고 유려한 전투 템포”가 특징이라는 리뷰가 많습니다. 추천 이유: 액션의 쾌감에 집중한 강렬한 FPS 경험입니다."
"멈추면 죽는 겜, 적보다 내가 먼저 숨차는 FPS 뭐 있냐?","DOOM Eternal (2020)는 PC, PS4, Xbox One, Switch에서 가능한 FPS입니다. 2020년 출시되었으며 Metacritic 92점의 높은 평가를 받았습니다. “빠르고 유려한 전투 템포”가 특징이라는 리뷰가 많습니다. 추천 이유: 액션의 쾌감에 집중한 강렬한 FPS 경험입니다."
그냥 타일만 깔고 있는데 시간 순삭되는 겜 뭐였지?,"Dorfromantik은(는) PC, Switch 플랫폼에서 플레이할 수 있는 퍼즐 전략 시뮬레이션 장르의 게임으로, 2022년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Tile-laying relaxation with city-building charm."" 라고 평가받았습니다. 추천 이유: 긴장감 없는 편안한 퍼즐과 건설의 재미가 공존합니다."
긴장감은 없는데 묘하게 집중되고 계속 하게 되는 퍼즐 겜 뭐 있음?,"Dorfromantik은(는) PC, Switch 플랫폼에서 플레이할 수 있는 퍼즐 전략 시뮬레이션 장르의 게임으로, 2023년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Tile-laying relaxation with city-building charm."" 라고 평가받았습니다. 추천 이유: 긴장감 없는 편안한 퍼즐과 건설의 재미가 공존합니다."
도시 짓는 겜인데 전투도 자원도 없고 그냥 조용하게 예쁜 거 뭐였더라,"Dorfromantik은(는) PC, Switch 플랫폼에서 플레이할 수 있는 퍼즐 전략 시뮬레이션 장르의 게임으로, 2024년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Tile-laying relaxation with city-building charm."" 라고 평가받았습니다. 추천 이유: 긴장감 없는 편안한 퍼즐과 건설의 재미가 공존합니다."
스트레스 1도 없이 감성만 챙기면서 할 수 있는 시뮬 겜 추천해줘,"Dorfromantik은(는) PC, Switch 플랫폼에서 플레이할 수 있는 퍼즐 전략 시뮬레이션 장르의 게임으로, 2025년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Tile-laying relaxation with city-building charm."" 라고 평가받았습니다. 추천 이유: 긴장감 없는 편안한 퍼즐과 건설의 재미가 공존합니다."
규칙은 단순한데 배치 고민하다가 시간 다 가는 게임 뭐 있음?,"Dorfromantik은(는) PC, Switch 플랫폼에서 플레이할 수 있는 퍼즐 전략 시뮬레이션 장르의 게임으로, 2026년에 출시되었습니다. 평점은 스팀 매우 긍정적이며, 리뷰에서는 ""Tile-laying relaxation with city-building charm."" 라고 평가받았습니다. 추천 이유: 긴장감 없는 편안한 퍼즐과 건설의 재미가 공존합니다."
그래픽은 낡았는데 분위기는 요즘 겜보다 훨씬 묵직한 RPG 뭐 있냐,"Dread Delusion은(는) PC에서 플레이할 수 있는 1인칭 액션 RPG입니다. 2024년에 출시되었으며, 메타크리틱에서 긍정적인 평가를 받고 있습니다. 리뷰에서는 ""이색적인 세계관과 구식 스타일의 매력이 독특하다""고 평가받았습니다. 추천 이유: 몽환적이고 고딕적인 분위기의 세계에서 모험과 탐험을 즐길 수 있는 게임입니다."
몽환적이면서도 세계관에 홀리는 1인칭 오픈월드 겜 뭐였지?,"Dread Delusion은(는) PC에서 플레이할 수 있는 1인칭 액션 RPG입니다. 2025년에 출시되었으며, 메타크리틱에서 긍정적인 평가를 받고 있습니다. 리뷰에서는 ""이색적인 세계관과 구식 스타일의 매력이 독특하다""고 평가받았습니다. 추천 이유: 몽환적이고 고딕적인 분위기의 세계에서 모험과 탐험을 즐길 수 있는 게임입니다."
하다 보면 내가 꿈 안에 있는 기분 드는 RPG 없냐? 감각 진짜 이상한 거,"Dread Delusion은(는) PC에서 플레이할 수 있는 1인칭 액션 RPG입니다. 2026년에 출시되었으며, 메타크리틱에서 긍정적인 평가를 받고 있습니다. 리뷰에서는 ""이색적인 세계관과 구식 스타일의 매력이 독특하다""고 평가받았습니다. 추천 이유: 몽환적이고 고딕적인 분위기의 세계에서 모험과 탐험을 즐길 수 있는 게임입니다."
구식 느낌 물씬인데 이상하게 감성 잘 잡힌 1인칭 탐험겜 뭐 추천해줘,"Dread Delusion은(는) PC에서 플레이할 수 있는 1인칭 액션 RPG입니다. 2027년에 출시되었으며, 메타크리틱에서 긍정적인 평가를 받고 있습니다. 리뷰에서는 ""이색적인 세계관과 구식 스타일의 매력이 독특하다""고 평가받았습니다. 추천 이유: 몽환적이고 고딕적인 분위기의 세계에서 모험과 탐험을 즐길 수 있는 게임입니다."
그냥 이상한 나라에 떨어진 느낌인데 이상하게 손 놓기 싫은 RPG 뭐 있었더라?,"Dread Delusion은(는) PC에서 플레이할 수 있는 1인칭 액션 RPG입니다. 2028년에 출시되었으며, 메타크리틱에서 긍정적인 평가를 받고 있습니다. 리뷰에서는 ""이색적인 세계관과 구식 스타일의 매력이 독특하다""고 평가받았습니다. 추천 이유: 몽환적이고 고딕적인 분위기의 세계에서 모험과 탐험을 즐길 수 있는 게임입니다."
낚시하다가 이건 뭔가 아니다 싶은 분위기 되는 그 겜 뭐였지?,"Dredge은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 낚시 호러 어드벤처 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 81이며, 리뷰에서는 ""Fishing meets cosmic horror in this eerie sea tale."" 라고 평가받았습니다. 추천 이유: 조용한 낚시와 기묘한 공포가 어우러진 독특한 게임입니다."
고요한 바다에서 조용히 낚시하는데 분위기 갑자기 싸해지는 게임 뭐 있음?,"Dredge은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 낚시 호러 어드벤처 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 82이며, 리뷰에서는 ""Fishing meets cosmic horror in this eerie sea tale."" 라고 평가받았습니다. 추천 이유: 조용한 낚시와 기묘한 공포가 어우러진 독특한 게임입니다."
심해 공포 섞인 낚시 겜 없냐? 겉은 힐링인데 속은 완전 코즈믹 호러 그거,"Dredge은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 낚시 호러 어드벤처 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 83이며, 리뷰에서는 ""Fishing meets cosmic horror in this eerie sea tale."" 라고 평가받았습니다. 추천 이유: 조용한 낚시와 기묘한 공포가 어우러진 독특한 게임입니다."
배만 타고 다니는데도 긴장감 쩔고 어두운 분위기 묻어나는 겜 뭐 있지?,"Dredge은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 낚시 호러 어드벤처 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 84이며, 리뷰에서는 ""Fishing meets cosmic horror in this eerie sea tale."" 라고 평가받았습니다. 추천 이유: 조용한 낚시와 기묘한 공포가 어우러진 독특한 게임입니다."
밤 되면 조명도 꺼지고 망망대해에서 정신이랑 배가 같이 떠내려가는 게임 뭐였더라?,"Dredge은(는) PC, Switch, PS4/5, Xbox 플랫폼에서 플레이할 수 있는 낚시 호러 어드벤처 장르의 게임으로, 2023년에 출시되었습니다. 평점은 메타크리틱 85이며, 리뷰에서는 ""Fishing meets cosmic horror in this eerie sea tale."" 라고 평가받았습니다. 추천 이유: 조용한 낚시와 기묘한 공포가 어우러진 독특한 게임입니다."
오리가 총 들고 싸우는 거… 그 겜 뭐였지,"DUCKSIDE은(는) PC 플랫폼에서 플레이할 수 있는 오리 생존 FPS 장르의 게임으로, 2024년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Post-apocalyptic ducks with guns. Yes, really."" 라고 평가받았습니다. 추천 이유: 총을 든 오리로 생존하는 독특하고 기상천외한 게임입니다."
생존 FPS인데 캐릭터가 오리인 겜 있지 않았냐? 그 미친 설정 뭐야,"DUCKSIDE은(는) PC 플랫폼에서 플레이할 수 있는 오리 생존 FPS 장르의 게임으로, 2025년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Post-apocalyptic ducks with guns. Yes, really."" 라고 평가받았습니다. 추천 이유: 총을 든 오리로 생존하는 독특하고 기상천외한 게임입니다."
웃기게 생겼는데 하다 보면 은근 진심으로 몰입되는 겜 뭐 있음?,"DUCKSIDE은(는) PC 플랫폼에서 플레이할 수 있는 오리 생존 FPS 장르의 게임으로, 2026년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Post-apocalyptic ducks with guns. Yes, really."" 라고 평가받았습니다. 추천 이유: 총을 든 오리로 생존하는 독특하고 기상천외한 게임입니다."
동물 나오는 슈터 게임 중에 분위기 제일 기묘했던 거 뭐였더라,"DUCKSIDE은(는) PC 플랫폼에서 플레이할 수 있는 오리 생존 FPS 장르의 게임으로, 2027년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Post-apocalyptic ducks with guns. Yes, really."" 라고 평가받았습니다. 추천 이유: 총을 든 오리로 생존하는 독특하고 기상천외한 게임입니다."
"귀엽긴 한데 멍청하게 총 쏘고 살아남는 거, 그 게임 또 없냐?","DUCKSIDE은(는) PC 플랫폼에서 플레이할 수 있는 오리 생존 FPS 장르의 게임으로, 2028년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Post-apocalyptic ducks with guns. Yes, really."" 라고 평가받았습니다. 추천 이유: 총을 든 오리로 생존하는 독특하고 기상천외한 게임입니다."
던전 들어갔다가 사람한테 죽든 몬스터한테 죽든 어차피 죽는 겜 뭐 있냐,"Dungeonborne은(는) PC 플랫폼에서 플레이할 수 있는 PvPvE 로그라이크 던전 FPS 장르의 게임으로, 2024년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Mixes extraction shooter tension with fantasy."" 라고 평가받았습니다. 추천 이유: 파밍과 탈출이 교차하는 긴장감 넘치는 판타지 슈터입니다."
로그라이크인데 나만 죽고 친구는 템 들고 도망치는 PvPvE 겜 뭐였지,"Dungeonborne은(는) PC 플랫폼에서 플레이할 수 있는 PvPvE 로그라이크 던전 FPS 장르의 게임으로, 2025년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Mixes extraction shooter tension with fantasy."" 라고 평가받았습니다. 추천 이유: 파밍과 탈출이 교차하는 긴장감 넘치는 판타지 슈터입니다."
판타지 배경인데 텐션은 총 게임처럼 긴장감 빡센 던전 슈터 뭐 있음?,"Dungeonborne은(는) PC 플랫폼에서 플레이할 수 있는 PvPvE 로그라이크 던전 FPS 장르의 게임으로, 2026년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Mixes extraction shooter tension with fantasy."" 라고 평가받았습니다. 추천 이유: 파밍과 탈출이 교차하는 긴장감 넘치는 판타지 슈터입니다."
"보스보다 사람이 더 무서운 겜 뭐야, 걍 탈출만 해도 박수치는 그거","Dungeonborne은(는) PC 플랫폼에서 플레이할 수 있는 PvPvE 로그라이크 던전 FPS 장르의 게임으로, 2027년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Mixes extraction shooter tension with fantasy."" 라고 평가받았습니다. 추천 이유: 파밍과 탈출이 교차하는 긴장감 넘치는 판타지 슈터입니다."
템 주워서 튀는 게 목표인데 그게 제일 어렵던 로그라이크 겜 또 없어?,"Dungeonborne은(는) PC 플랫폼에서 플레이할 수 있는 PvPvE 로그라이크 던전 FPS 장르의 게임으로, 2028년에 출시되었습니다. 평점은 스팀 인기 데모이며, 리뷰에서는 ""Mixes extraction shooter tension with fantasy."" 라고 평가받았습니다. 추천 이유: 파밍과 탈출이 교차하는 긴장감 넘치는 판타지 슈터입니다."
설산 배경인데 스키 타다가 던전 들어가고 퍼즐 푸는 겜 뭐였지,"Dungeons of Hinterberg은(는) PC, Xbox Series X/S 플랫폼에서 플레이할 수 있는 슬로프+퍼즐+던전 액션 RPG 장르의 게임으로, 2024년에 출시되었습니다. 평점은 출시 예정이며, 리뷰에서는 ""Adventuring with alpine charm."" 라고 평가받았습니다. 추천 이유: 알프스 배경에 다양한 미니게임과 던전이 조화된 독특한 탐험 게임입니다."
눈 내리는 마을에서 퍼즐 풀고 몬스터랑 싸우는 겜 뭐 없음?,"Dungeons of Hinterberg은(는) PC, Xbox Series X/S 플랫폼에서 플레이할 수 있는 슬로프+퍼즐+던전 액션 RPG 장르의 게임으로, 2025년에 출시되었습니다. 평점은 출시 예정이며, 리뷰에서는 ""Adventuring with alpine charm."" 라고 평가받았습니다. 추천 이유: 알프스 배경에 다양한 미니게임과 던전이 조화된 독특한 탐험 게임입니다."
느긋한 탐험인데 중간중간 전투도 있고 뭔가 조화 잘 된 RPG 뭐야,"Dungeons of Hinterberg은(는) PC, Xbox Series X/S 플랫폼에서 플레이할 수 있는 슬로프+퍼즐+던전 액션 RPG 장르의 게임으로, 2026년에 출시되었습니다. 평점은 출시 예정이며, 리뷰에서는 ""Adventuring with alpine charm."" 라고 평가받았습니다. 추천 이유: 알프스 배경에 다양한 미니게임과 던전이 조화된 독특한 탐험 게임입니다."
슬로프 타다 갑자기 던전 탐험 들어가는 텐션 전환 겜 뭐 있었더라,"Dungeons of Hinterberg은(는) PC, Xbox Series X/S 플랫폼에서 플레이할 수 있는 슬로프+퍼즐+던전 액션 RPG 장르의 게임으로, 2027년에 출시되었습니다. 평점은 출시 예정이며, 리뷰에서는 ""Adventuring with alpine charm."" 라고 평가받았습니다. 추천 이유: 알프스 배경에 다양한 미니게임과 던전이 조화된 독특한 탐험 게임입니다."
풍경은 알프스 감성인데 시스템은 꽤 알찬 어드벤처 RPG 뭐 추천해줄래?,"Dungeons of Hinterberg은(는) PC, Xbox Series X/S 플랫폼에서 플레이할 수 있는 슬로프+퍼즐+던전 액션 RPG 장르의 게임으로, 2028년에 출시되었습니다. 평점은 출시 예정이며, 리뷰에서는 ""Adventuring with alpine charm."" 라고 평가받았습니다. 추천 이유: 알프스 배경에 다양한 미니게임과 던전이 조화된 독특한 탐험 게임입니다."
말빨로 상황 뒤집는 겜 뭐였지? 액션보다 대화가 더 중요한 그거,"Dustborn은 PC, PS5에서 플레이할 수 있는 내러티브 액션 어드벤처 게임입니다. 2024년 출시 예정이며, 개발 초기 리뷰에서는 ""소셜 유대와 심리전이 주된 재미 요소""라는 평가를 받고 있습니다. 추천 이유: 캐릭터 간 관계 중심 스토리텔링을 선호하는 유저에게 적합합니다."
캐릭터 사이 관계 엮이면서 스토리 터지는 겜 뭐 없냐? 감정선 찐한 거,"Dustborn은 PC, PS5에서 플레이할 수 있는 내러티브 액션 어드벤처 게임입니다. 2025년 출시 예정이며, 개발 초기 리뷰에서는 ""소셜 유대와 심리전이 주된 재미 요소""라는 평가를 받고 있습니다. 추천 이유: 캐릭터 간 관계 중심 스토리텔링을 선호하는 유저에게 적합합니다."
전투는 뒷전이고 팀 내 갈등으로 이야기 흐르는 겜 뭐였더라,"Dustborn은 PC, PS5에서 플레이할 수 있는 내러티브 액션 어드벤처 게임입니다. 2026년 출시 예정이며, 개발 초기 리뷰에서는 ""소셜 유대와 심리전이 주된 재미 요소""라는 평가를 받고 있습니다. 추천 이유: 캐릭터 간 관계 중심 스토리텔링을 선호하는 유저에게 적합합니다."
말 한마디 잘못하면 분위기 싸해지고 갈등 생기는 그런 겜 뭐 있음?,"Dustborn은 PC, PS5에서 플레이할 수 있는 내러티브 액션 어드벤처 게임입니다. 2027년 출시 예정이며, 개발 초기 리뷰에서는 ""소셜 유대와 심리전이 주된 재미 요소""라는 평가를 받고 있습니다. 추천 이유: 캐릭터 간 관계 중심 스토리텔링을 선호하는 유저에게 적합합니다."
소셜 중심 게임인데 액션도 가끔 끼는 이상하게 밸런스 잘 맞는 거 뭐 있냐?,"Dustborn은 PC, PS5에서 플레이할 수 있는 내러티브 액션 어드벤처 게임입니다. 2028년 출시 예정이며, 개발 초기 리뷰에서는 ""소셜 유대와 심리전이 주된 재미 요소""라는 평가를 받고 있습니다. 추천 이유: 캐릭터 간 관계 중심 스토리텔링을 선호하는 유저에게 적합합니다."
"좀비 피해서 건물 타고 파쿠르 뛰는 겜, 그거 뭐였지? 진짜 속도감 쩔던데","Dying Light 2 Stay Human은(는) PC, PS4/5, Xbox One/Series X 플랫폼에서 플레이할 수 있는 오픈 월드 좀비 액션 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 77이며, 리뷰에서는 ""Parkour and dynamic combat make traversal a joy."" 라고 평가받았습니다. 추천 이유: 파쿠르 기반 전투와 확장된 오픈월드가 인상적입니다."
"밤 되면 개무서워서 숨게 되는 좀비겜, 낮엔 날라다니는 겜 뭐 있음?","Dying Light 2 Stay Human은(는) PC, PS4/5, Xbox One/Series X 플랫폼에서 플레이할 수 있는 오픈 월드 좀비 액션 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 78이며, 리뷰에서는 ""Parkour and dynamic combat make traversal a joy."" 라고 평가받았습니다. 추천 이유: 파쿠르 기반 전투와 확장된 오픈월드가 인상적입니다."
점프하고 구르고 도망치면서 좀비 피하는 오픈월드 겜 뭐 추천해줄래,"Dying Light 2 Stay Human은(는) PC, PS4/5, Xbox One/Series X 플랫폼에서 플레이할 수 있는 오픈 월드 좀비 액션 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 79이며, 리뷰에서는 ""Parkour and dynamic combat make traversal a joy."" 라고 평가받았습니다. 추천 이유: 파쿠르 기반 전투와 확장된 오픈월드가 인상적입니다."
오픈월드인데 좀비랑 싸우기보다 도망치는 게 더 스릴 있던 겜 뭐였더라,"Dying Light 2 Stay Human은(는) PC, PS4/5, Xbox One/Series X 플랫폼에서 플레이할 수 있는 오픈 월드 좀비 액션 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 80이며, 리뷰에서는 ""Parkour and dynamic combat make traversal a joy."" 라고 평가받았습니다. 추천 이유: 파쿠르 기반 전투와 확장된 오픈월드가 인상적입니다."
도시를 발판처럼 쓰는 파쿠르 액션 좀비 게임 또 없어?,"Dying Light 2 Stay Human은(는) PC, PS4/5, Xbox One/Series X 플랫폼에서 플레이할 수 있는 오픈 월드 좀비 액션 장르의 게임으로, 2022년에 출시되었습니다. 평점은 Metacritic 81이며, 리뷰에서는 ""Parkour and dynamic combat make traversal a joy."" 라고 평가받았습니다. 추천 이유: 파쿠르 기반 전투와 확장된 오픈월드가 인상적입니다."
점프감 존나 섬세해서 손맛 쩌는 2D 플랫포머 뭐 있냐,"Earthblade는 PC에서 플레이할 수 있는 메트로베니아 플랫폼 액션 게임입니다. 2024년 출시 예정이며, ""Celeste 개발팀의 후속작으로 기대감이 크다""는 평을 받고 있습니다. 추천 이유: 섬세한 조작감과 감성적 그래픽이 어우러진 탐험 중심 게임입니다."
메트로베니아인데 아트워크 감성 터지는 게임 뭐 추천해줄래,"Earthblade는 PC에서 플레이할 수 있는 메트로베니아 플랫폼 액션 게임입니다. 2025년 출시 예정이며, ""Celeste 개발팀의 후속작으로 기대감이 크다""는 평을 받고 있습니다. 추천 이유: 섬세한 조작감과 감성적 그래픽이 어우러진 탐험 중심 게임입니다."
Celeste 느낌인데 배경이 더 환상적인 겜 뭐 있었지?,"Earthblade는 PC에서 플레이할 수 있는 메트로베니아 플랫폼 액션 게임입니다. 2026년 출시 예정이며, ""Celeste 개발팀의 후속작으로 기대감이 크다""는 평을 받고 있습니다. 추천 이유: 섬세한 조작감과 감성적 그래픽이 어우러진 탐험 중심 게임입니다."
조용하고 슬픈 분위기에서 점프만 계속하게 되는 겜 뭐야,"Earthblade는 PC에서 플레이할 수 있는 메트로베니아 플랫폼 액션 게임입니다. 2027년 출시 예정이며, ""Celeste 개발팀의 후속작으로 기대감이 크다""는 평을 받고 있습니다. 추천 이유: 섬세한 조작감과 감성적 그래픽이 어우러진 탐험 중심 게임입니다."
